update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,loss,epsilon,unique_tilings,wall_time
10001,50000,7188,0.6781,7.07,0.0000,0.7070,0.0000,0.000356,0.9240,0,67.5
22501,100000,14289,0.6855,7.15,0.0000,0.7150,0.0000,0.000350,0.8290,0,149.2
35001,150000,21288,0.6957,7.26,0.0000,0.7260,0.0000,0.000346,0.7340,1,229.1
47501,200000,28211,0.6920,7.22,0.0000,0.7220,0.0000,0.000357,0.6390,5,310.3
60001,250000,35042,0.7039,7.35,0.0000,0.7350,0.0000,0.000360,0.5440,6,391.6
72501,300000,41772,0.7150,7.47,0.0000,0.7470,0.0000,0.000346,0.4490,9,469.3
85001,350000,48420,0.7390,7.73,0.0000,0.7730,0.0000,0.000400,0.3540,10,543.0
97501,400000,54986,0.7371,7.71,0.0000,0.7710,0.0000,0.000322,0.2590,12,616.7
110001,450000,61443,0.7565,7.92,0.0000,0.7920,0.0000,0.000349,0.1640,17,692.8
122501,500000,67787,0.7674,8.04,0.0000,0.8040,0.0000,0.000364,0.0690,21,768.2
135001,550000,74030,0.7729,8.10,0.0000,0.8100,0.0000,0.000321,0.0500,30,844.8
147501,600000,80207,0.7802,8.18,0.0000,0.8180,0.0000,0.000308,0.0500,40,921.3
160001,650000,86355,0.7930,8.21,0.0100,0.8210,0.0000,0.000340,0.0500,56,998.7
172501,700000,92432,0.7857,8.24,0.0000,0.8240,0.0000,0.000374,0.0500,76,1076.6
185001,750000,98462,0.7930,8.32,0.0000,0.8320,0.0000,0.000396,0.0500,101,1155.3
197501,800000,104453,0.8030,8.32,0.0100,0.8320,0.0000,0.000385,0.0500,133,1235.1
210001,850000,110406,0.8085,8.38,0.0100,0.8380,0.0000,0.000522,0.0500,179,1315.9
222501,900000,116321,0.8067,8.47,0.0000,0.8470,0.0000,0.000521,0.0500,233,1397.5
235001,950000,122211,0.8286,8.60,0.0100,0.8600,0.0000,0.000554,0.0500,296,1479.6
247501,1000000,128082,0.8431,8.65,0.0200,0.8650,0.0000,0.000694,0.0500,360,1536.5
260001,1050000,133931,0.8431,8.65,0.0200,0.8650,0.0000,0.001005,0.0500,442,1624.7
272501,1100000,139776,0.8767,8.69,0.0500,0.8690,0.0000,0.000877,0.0500,512,1712.4
285001,1150000,145598,0.9003,8.51,0.0900,0.8510,0.0000,0.001676,0.0500,583,1800.7
297501,1200000,151353,1.2164,8.91,0.3700,0.8910,0.0000,0.003373,0.0500,609,1890.8
310001,1250000,156709,1.6170,9.47,0.7200,0.9470,0.0000,0.002163,0.0500,614,1981.6
322501,1300000,161994,1.6878,9.59,0.7800,0.9590,0.0000,0.002330,0.0500,619,2073.1
335001,1350000,167273,1.6179,9.48,0.7200,0.9480,0.0000,0.002008,0.0500,621,2165.2
347501,1400000,172539,1.7024,9.64,0.7900,0.9640,0.0000,0.001703,0.0500,627,2262.3
360001,1450000,177819,1.5952,9.45,0.7000,0.9450,0.0000,0.001619,0.0500,632,2354.9
372501,1500000,183104,1.7052,9.67,0.7900,0.9670,0.0000,0.001417,0.0500,639,2448.2
385001,1550000,188389,1.5970,9.47,0.7000,0.9470,0.0000,0.001646,0.0500,641,2541.9
397501,1600000,193665,1.5743,9.44,0.6800,0.9440,0.0000,0.001156,0.0500,647,2633.9
410001,1650000,198951,1.6443,9.55,0.7400,0.9550,0.0000,0.000843,0.0500,650,2727.9
422501,1700000,204250,1.5788,9.38,0.6900,0.9380,0.0000,0.000506,0.0500,654,2820.5
435001,1750000,209535,1.6506,9.51,0.7500,0.9510,0.0000,0.000482,0.0500,658,2914.8
447501,1800000,214834,1.6552,9.56,0.7500,0.9560,0.0000,0.000528,0.0500,661,3009.4
460001,1850000,220134,1.6370,9.47,0.7400,0.9470,0.0000,0.000579,0.0500,663,3104.2
472501,1900000,225428,1.5834,9.43,0.6900,0.9430,0.0000,0.000535,0.0500,665,3199.2
485001,1950000,230729,1.6670,9.58,0.7600,0.9580,0.0000,0.000470,0.0500,667,3294.7
497501,2000000,236030,1.6179,9.48,0.7200,0.9480,0.0000,0.000521,0.0500,669,3390.9
