update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
10,20480,2914,0.6892,7.19,0.0000,0.7190,0.0000,-0.019401,0.001711,2.5470,0.007895,0,69.3
20,40960,5747,0.6994,7.30,0.0000,0.7300,0.0000,-0.017861,0.001839,2.3698,0.008413,0,136.3
30,61440,8517,0.7279,7.61,0.0000,0.7610,0.0000,-0.017444,0.001631,2.0834,0.009117,0,200.7
40,81920,11230,0.7306,7.64,0.0000,0.7640,0.0000,-0.019078,0.001783,1.8619,0.010799,0,266.3
50,102400,13900,0.7435,7.78,0.0000,0.7780,0.0000,-0.020712,0.001445,1.5362,0.011328,3,336.6
60,122880,16503,0.7491,7.84,0.0000,0.7840,0.0000,-0.011759,0.001839,1.4820,0.009539,7,402.8
70,143360,19080,0.7628,7.99,0.0000,0.7990,0.0000,-0.012044,0.008583,1.2931,0.010740,8,470.1
80,163840,21653,0.7583,7.94,0.0000,0.7940,0.0000,-0.017079,0.001245,1.3581,0.012032,12,539.3
90,184320,24179,0.7775,8.15,0.0000,0.8150,0.0000,-0.013850,0.001295,1.0269,0.012340,13,609.6
100,204800,26703,0.7784,8.16,0.0000,0.8160,0.0000,-0.015279,0.001244,1.0765,0.011581,15,684.8
110,225280,29188,0.7912,8.30,0.0000,0.8300,0.0000,-0.017603,0.001388,0.9388,0.011610,15,756.7
120,245760,31642,0.8012,8.41,0.0000,0.8410,0.0000,-0.018831,0.001290,0.8487,0.013360,16,824.6
130,266240,34077,0.8094,8.50,0.0000,0.8500,0.0000,-0.013423,0.001063,0.6868,0.010113,16,893.1
140,286720,36490,0.8103,8.51,0.0000,0.8510,0.0000,-0.016239,0.001252,0.7957,0.012892,16,965.0
150,307200,38903,0.8130,8.54,0.0000,0.8540,0.0000,-0.012632,0.003346,0.7404,0.009049,19,1035.5
160,327680,41291,0.8194,8.61,0.0000,0.8610,0.0000,-0.017571,0.000940,0.5752,0.010046,21,1104.4
170,348160,43664,0.8295,8.72,0.0000,0.8720,0.0000,-0.016516,0.000883,0.5175,0.012959,23,1173.8
180,368640,46054,0.8285,8.49,0.0200,0.8490,0.0000,-0.010951,0.006757,0.8098,0.007041,24,1241.2
190,389120,48453,0.8158,8.57,0.0000,0.8570,0.0000,-0.009291,0.006258,0.6764,0.010639,25,1307.6
200,409600,50873,0.8702,8.51,0.0600,0.8510,0.0000,-0.006183,0.016185,0.9446,0.014104,25,1374.1
210,430080,53389,0.7874,8.15,0.0100,0.8150,0.0000,-0.018041,0.011271,1.1409,0.013704,25,1438.6
220,450560,55921,0.8419,8.20,0.0600,0.8200,0.0000,-0.015113,0.023431,1.1002,0.012795,25,1503.9
230,471040,58462,0.8245,8.01,0.0600,0.8010,0.0000,-0.017934,0.019080,1.3173,0.012834,25,1571.8
240,491520,61034,0.7845,7.90,0.0300,0.7900,0.0000,-0.019819,0.016229,1.4288,0.015902,26,1642.2
250,512000,63660,0.8524,7.88,0.1000,0.7880,0.0000,-0.018661,0.022638,1.5748,0.012196,27,1709.8
260,532480,66300,0.8105,7.75,0.0700,0.7750,0.0000,-0.019989,0.018447,1.6222,0.010496,28,1776.8
270,552960,68923,0.8351,7.80,0.0900,0.7800,0.0000,-0.019717,0.025439,1.5522,0.015244,28,1844.2
280,573440,71531,0.8287,7.84,0.0800,0.7840,0.0000,-0.020335,0.030250,1.5172,0.014190,28,1912.0
290,593920,74178,0.8240,7.68,0.0900,0.7680,0.0000,-0.023778,0.030887,1.6477,0.013322,29,1978.8
300,614400,76780,0.9115,7.98,0.1500,0.7980,0.0000,-0.016484,0.038938,1.3727,0.012430,29,2045.9
310,634880,79306,1.1042,8.34,0.3100,0.8340,0.0000,-0.015781,0.044405,1.1675,0.011586,29,2113.2
320,655360,81816,0.9759,8.03,0.2100,0.8030,0.0000,-0.014007,0.048410,1.2007,0.013861,29,2179.6
330,675840,84256,1.2470,8.70,0.4200,0.8700,0.0000,-0.022096,0.064049,0.7531,0.012744,30,2246.6
340,696320,86634,1.3679,8.93,0.5200,0.8930,0.0000,-0.017989,0.064534,0.5824,0.013564,30,2315.4
350,716800,88843,1.6687,9.49,0.7700,0.9490,0.0000,-0.011738,0.041990,0.3168,0.011535,31,2382.2
360,737280,90975,1.6932,9.54,0.7900,0.9540,0.0000,-0.021403,0.032638,0.5175,0.014901,31,2453.0
370,757760,93098,1.9086,9.93,0.9700,0.9930,0.0000,-0.010592,0.006596,0.2883,0.008869,31,2522.4
380,778240,95211,1.8841,9.88,0.9500,0.9880,0.0000,-0.013525,0.015522,0.3138,0.013517,31,2592.7
390,798720,97299,1.8023,9.75,0.8800,0.9750,0.0000,-0.008924,0.018716,0.3938,0.009522,31,2660.5
400,819200,99401,1.8714,9.85,0.9400,0.9850,0.0000,-0.006264,0.010817,0.3495,0.009539,31,2727.0
410,839680,101554,1.6686,9.38,0.7800,0.9380,0.0000,-0.018019,0.035068,0.4779,0.014815,31,2793.7
420,860160,103646,1.7878,9.70,0.8700,0.9700,0.0000,-0.015966,0.024688,0.4265,0.010036,31,2860.3
430,880640,105731,1.7496,9.61,0.8400,0.9610,0.0000,-0.016697,0.016716,0.4059,0.009577,31,2926.7
440,901120,107821,1.8114,9.74,0.8900,0.9740,0.0000,-0.016332,0.022242,0.4090,0.013335,31,2992.3
450,921600,109895,1.9195,9.94,0.9800,0.9940,0.0000,-0.007777,0.008549,0.3640,0.007836,31,3060.7
460,942080,111974,1.9068,9.91,0.9700,0.9910,0.0000,-0.004055,0.004371,0.3035,0.008682,31,3125.8
470,962560,114069,1.8813,9.85,0.9500,0.9850,0.0000,-0.007702,0.007641,0.3195,0.009625,31,3191.8
480,983040,116137,1.8459,9.79,0.9200,0.9790,0.0000,-0.013191,0.013801,0.4030,0.011301,31,3260.6
490,1003520,118237,1.8478,9.81,0.9200,0.9810,0.0000,-0.010751,0.015091,0.3790,0.009499,31,3329.5
500,1024000,120358,1.8259,9.79,0.9000,0.9790,0.0000,-0.014630,0.015637,0.3592,0.010746,31,3397.5
510,1044480,122456,1.8450,9.78,0.9200,0.9780,0.0000,-0.011385,0.014652,0.3930,0.007646,31,3463.2
520,1064960,124540,1.9205,9.95,0.9800,0.9950,0.0000,-0.009181,0.003211,0.3350,0.008551,31,3527.2
530,1085440,126616,1.8723,9.86,0.9400,0.9860,0.0000,-0.007423,0.006665,0.3385,0.005756,31,3591.8
540,1105920,128699,1.7141,9.55,0.8100,0.9550,0.0000,-0.014746,0.027145,0.4610,0.012845,31,3656.4
550,1126400,130793,1.8267,9.69,0.9100,0.9690,0.0000,-0.014281,0.021245,0.4175,0.007453,31,3722.1
560,1146880,132919,1.7186,9.60,0.8100,0.9600,0.0000,-0.019372,0.031396,0.4007,0.015118,31,3787.0
570,1167360,135010,1.7104,9.51,0.8100,0.9510,0.0000,-0.027509,0.026025,0.4766,0.017519,31,3851.7
580,1187840,137098,1.8841,9.88,0.9500,0.9880,0.0000,-0.009123,0.013148,0.3418,0.007866,31,3916.3
590,1208320,139186,1.8996,9.94,0.9600,0.9940,0.0000,-0.009232,0.009119,0.3483,0.007556,31,3980.5
600,1228800,141271,1.8496,9.83,0.9200,0.9830,0.0000,-0.011911,0.011175,0.3866,0.012606,31,4044.4
610,1249280,143367,1.9086,9.93,0.9700,0.9930,0.0000,-0.009323,0.004219,0.3074,0.008547,31,4112.0
620,1269760,145434,1.8968,9.91,0.9600,0.9910,0.0000,-0.008689,0.009256,0.3388,0.009424,31,4176.3
630,1290240,147499,1.8723,9.86,0.9400,0.9860,0.0000,-0.008174,0.009290,0.3714,0.007324,31,4239.7
640,1310720,149598,1.8641,9.88,0.9300,0.9880,0.0000,-0.013994,0.012507,0.3659,0.010271,31,4303.1
650,1331200,151682,1.9205,9.95,0.9800,0.9950,0.0000,-0.008143,0.008753,0.3594,0.006189,31,4366.9
660,1351680,153752,1.7614,9.63,0.8500,0.9630,0.0000,-0.021341,0.016615,0.4125,0.012208,31,4430.7
670,1372160,155889,1.8068,9.69,0.8900,0.9690,0.0000,-0.012889,0.015699,0.3925,0.008582,31,4494.8
680,1392640,157950,1.9077,9.92,0.9700,0.9920,0.0000,-0.008157,0.005509,0.3436,0.007947,31,4559.2
690,1413120,160021,1.9323,9.97,0.9900,0.9970,0.0000,-0.008210,0.004910,0.3411,0.006114,31,4623.7
700,1433600,162086,1.9450,10.00,1.0000,1.0000,0.0000,-0.003195,0.002827,0.3172,0.010932,31,4690.0
710,1454080,164165,1.5606,9.29,0.6800,0.9290,0.0000,-0.031853,0.036727,0.5511,0.024721,31,4758.6
720,1474560,166255,1.8732,9.87,0.9400,0.9870,0.0000,-0.009704,0.009168,0.3842,0.007210,31,4827.4
730,1495040,168316,1.8514,9.85,0.9200,0.9850,0.0000,-0.012335,0.013344,0.3912,0.009652,31,4896.1
740,1515520,170389,1.8595,9.83,0.9300,0.9830,0.0000,-0.013077,0.021433,0.4155,0.013009,31,4964.8
750,1536000,172460,1.9096,9.94,0.9700,0.9940,0.0000,-0.009407,0.007936,0.4018,0.006814,31,5033.1
760,1556480,174533,1.8887,9.93,0.9500,0.9930,0.0000,-0.013448,0.007628,0.4078,0.012498,31,5101.5
770,1576960,176600,1.9096,9.94,0.9700,0.9940,0.0000,-0.009001,0.012305,0.4159,0.008608,31,5170.0
780,1597440,178673,1.8977,9.92,0.9600,0.9920,0.0000,-0.007387,0.008563,0.4120,0.008239,31,5238.8
790,1617920,180726,1.9332,9.98,0.9900,0.9980,0.0000,-0.007513,0.003441,0.3742,0.007002,31,5307.0
800,1638400,182786,1.9205,9.95,0.9800,0.9950,0.0000,-0.008117,0.006637,0.3889,0.009390,31,5376.1
