update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
10,20480,2902,0.6883,7.18,0.0000,0.7180,0.0000,-0.016546,0.001894,2.5035,0.008872,0,70.8
20,40960,5703,0.7105,7.42,0.0000,0.7420,0.0000,-0.014588,0.001452,2.0378,0.011192,0,141.1
30,61440,8414,0.7399,7.74,0.0000,0.7740,0.0000,-0.013659,0.001363,1.5832,0.012180,0,211.0
40,81920,11050,0.7537,7.89,0.0000,0.7890,0.0000,-0.012248,0.001258,1.1106,0.013305,1,281.4
50,102400,13622,0.7803,8.18,0.0000,0.8180,0.0000,-0.013208,0.001060,0.7851,0.017677,2,351.7
60,122880,16103,0.8030,8.43,0.0000,0.8430,0.0000,-0.010804,0.001186,0.4729,0.016199,2,422.0
70,143360,18510,0.8067,8.47,0.0000,0.8470,0.0000,-0.006675,0.005991,0.4817,0.012730,3,491.5
80,163840,20891,0.8304,8.62,0.0100,0.8620,0.0000,-0.007039,0.003081,0.3434,0.017024,4,561.7
90,184320,23266,0.8185,8.60,0.0000,0.8600,0.0000,-0.006902,0.003043,0.3690,0.012609,5,632.1
100,204800,25641,0.8295,8.72,0.0000,0.8720,0.0000,0.003047,0.000717,0.3792,0.020626,5,702.7
110,225280,27996,0.8440,8.77,0.0100,0.8770,0.0000,-0.001814,0.004774,0.2792,0.019522,5,773.0
120,245760,30383,0.8495,8.61,0.0300,0.8610,0.0000,-0.005583,0.011370,0.3230,0.012242,5,843.1
130,266240,32776,0.8531,8.65,0.0300,0.8650,0.0000,-0.006864,0.008995,0.3694,0.013952,5,913.4
140,286720,35171,0.8812,8.63,0.0600,0.8630,0.0000,-0.004201,0.015644,0.3984,0.010916,5,983.6
150,307200,37529,0.9238,8.55,0.1100,0.8550,0.0000,-0.007180,0.023295,0.3025,0.014773,5,1053.0
160,327680,39937,0.9410,8.41,0.1400,0.8410,0.0000,-0.005404,0.025053,0.4523,0.011567,6,1123.3
170,348160,42347,1.0582,8.60,0.2400,0.8600,0.0000,-0.007014,0.039687,0.3715,0.012329,9,1193.3
180,368640,44747,1.0373,8.48,0.2300,0.8480,0.0000,-0.003539,0.035216,0.3313,0.008814,9,1263.4
190,389120,47117,1.1473,8.81,0.3100,0.8810,0.0000,-0.005811,0.044795,0.2478,0.007550,10,1333.5
200,409600,49455,1.1428,8.76,0.3100,0.8760,0.0000,-0.004363,0.051864,0.2506,0.012586,13,1403.3
210,430080,51743,1.4344,9.11,0.5700,0.9110,0.0000,-0.007572,0.060307,0.1877,0.013942,13,1473.5
220,450560,53998,1.4425,9.20,0.5700,0.9200,0.0000,-0.005939,0.055135,0.1004,0.007310,13,1543.8
230,471040,56226,1.4489,9.16,0.5800,0.9160,0.0000,-0.003031,0.059984,0.1099,0.007338,13,1614.2
240,491520,58438,1.5244,9.33,0.6400,0.9330,0.0000,-0.005505,0.053038,0.1649,0.008531,13,1684.3
250,512000,60644,1.4943,9.22,0.6200,0.9220,0.0000,-0.003208,0.057221,0.1856,0.006414,13,1754.7
260,532480,62847,1.5279,9.26,0.6500,0.9260,0.0000,-0.010583,0.051477,0.1598,0.010595,14,1825.0
270,552960,65012,1.7069,9.58,0.8000,0.9580,0.0000,-0.001448,0.035728,0.1179,0.006501,14,1895.3
280,573440,67177,1.6152,9.45,0.7200,0.9450,0.0000,-0.005480,0.039225,0.1337,0.005543,15,1965.7
290,593920,69328,1.6596,9.50,0.7600,0.9500,0.0000,-0.007361,0.044158,0.1375,0.006507,15,2035.6
300,614400,71474,1.6815,9.52,0.7800,0.9520,0.0000,-0.009593,0.037775,0.1687,0.007323,15,2106.4
310,634880,73563,1.9105,9.95,0.9700,0.9950,0.0000,-0.003578,0.012609,0.1476,0.007097,15,2176.8
320,655360,75635,1.8850,9.89,0.9500,0.9890,0.0000,-0.003769,0.010687,0.1348,0.006025,15,2247.4
330,675840,77710,1.8505,9.84,0.9200,0.9840,0.0000,-0.007898,0.014290,0.1700,0.008178,15,2318.0
340,696320,79780,1.8478,9.81,0.9200,0.9810,0.0000,-0.006672,0.018782,0.1865,0.015970,15,2388.2
350,716800,81852,1.8641,9.88,0.9300,0.9880,0.0000,-0.002748,0.010996,0.1703,0.011742,15,2458.4
360,737280,83913,1.8850,9.89,0.9500,0.9890,0.0000,-0.007473,0.014087,0.1809,0.008716,15,2528.9
370,757760,85981,1.8614,9.85,0.9300,0.9850,0.0000,-0.008961,0.010800,0.1974,0.010111,15,2599.4
380,778240,88041,1.9450,10.00,1.0000,1.0000,0.0000,-0.002171,0.001005,0.1850,0.005480,15,2669.5
390,798720,90105,1.8978,9.92,0.9600,0.9920,0.0000,-0.003641,0.005963,0.1571,0.010354,15,2739.7
400,819200,92163,1.9223,9.97,0.9800,0.9970,0.0000,-0.003824,0.004393,0.1715,0.008114,15,2810.5
410,839680,94223,1.9195,9.94,0.9800,0.9940,0.0000,-0.005731,0.007996,0.1913,0.009446,15,2881.2
