update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
10,20480,2899,0.6883,7.18,0.0000,0.7180,0.0000,-0.037506,0.001790,2.4789,0.016032,0,64.6
20,40960,5688,0.7003,7.31,0.0000,0.7310,0.0000,-0.040984,0.001691,2.2102,0.017195,0,129.3
30,61440,8419,0.7334,7.67,0.0000,0.7670,0.0000,-0.036617,0.001729,1.8760,0.022980,0,193.1
40,81920,11095,0.7307,7.64,0.0000,0.7640,0.0000,-0.021280,0.008370,1.4960,0.022222,2,257.2
50,102400,13686,0.7765,8.14,0.0000,0.8140,0.0000,-0.025245,0.001672,1.0025,0.031279,6,321.1
60,122880,16162,0.7875,8.26,0.0000,0.8260,0.0000,-0.013724,0.006309,0.6293,0.034319,7,385.4
70,143360,18582,0.8620,8.42,0.0600,0.8420,0.0000,-0.012252,0.015022,0.5678,0.037850,10,450.2
80,163840,20989,1.1818,8.86,0.3400,0.8860,0.0000,-0.019398,0.037939,0.4959,0.029732,10,514.8
90,184320,23180,1.8260,9.79,0.9000,0.9790,0.0000,-0.010759,0.024228,0.0974,0.026878,10,579.3
100,204800,25251,1.9105,9.95,0.9700,0.9950,0.0000,-0.006977,0.012761,0.1238,0.018122,10,643.7
110,225280,27312,1.8387,9.82,0.9100,0.9820,0.0000,-0.007635,0.012944,0.1403,0.022389,10,708.0
120,245760,29372,1.9214,9.96,0.9800,0.9960,0.0000,-0.004988,0.002862,0.1367,0.009806,10,772.0
130,266240,31435,1.9086,9.93,0.9700,0.9930,0.0000,-0.001401,0.007282,0.1471,0.012382,10,836.0
140,286720,33497,1.9323,9.97,0.9900,0.9970,0.0000,-0.004867,0.004709,0.2073,0.017232,11,899.8
150,307200,35554,1.9214,9.96,0.9800,0.9960,0.0000,-0.004605,0.002940,0.2546,0.012232,11,963.4
160,327680,37612,1.9450,10.00,1.0000,1.0000,0.0000,-0.005475,0.000737,0.2446,0.007832,11,1027.2
170,348160,39668,1.9341,9.99,0.9900,0.9990,0.0000,-0.001819,0.001628,0.1875,0.009487,11,1091.7
180,368640,41731,1.8968,9.91,0.9600,0.9910,0.0000,-0.011787,0.010076,0.2819,0.018369,11,1156.3
190,389120,43834,1.9005,9.95,0.9600,0.9950,0.0000,-0.011303,0.008328,0.2714,0.013663,11,1221.3
200,409600,45891,1.8968,9.91,0.9600,0.9910,0.0000,-0.007405,0.009992,0.2638,0.015065,11,1285.9
210,430080,47952,1.9214,9.96,0.9800,0.9960,0.0000,-0.010767,0.006277,0.2886,0.018474,11,1351.0
220,450560,50005,1.9214,9.96,0.9800,0.9960,0.0000,-0.008040,0.002209,0.3135,0.010848,11,1416.6
230,471040,52057,1.9341,9.99,0.9900,0.9990,0.0000,-0.005753,0.001142,0.2726,0.010967,11,1482.1
240,491520,54109,1.9450,10.00,1.0000,1.0000,0.0000,-0.006160,0.001783,0.2376,0.010114,11,1547.3
250,512000,56169,1.9205,9.95,0.9800,0.9950,0.0000,-0.011934,0.004364,0.3262,0.017715,11,1612.7
260,532480,58234,1.9195,9.94,0.9800,0.9940,0.0000,-0.008598,0.004243,0.2738,0.013230,11,1678.3
270,552960,60286,1.9323,9.97,0.9900,0.9970,0.0000,-0.008655,0.003148,0.2556,0.011864,11,1743.9
280,573440,62339,1.8869,9.91,0.9500,0.9910,0.0000,-0.013189,0.013070,0.2144,0.021744,11,1808.8
290,593920,64394,1.9450,10.00,1.0000,1.0000,0.0000,-0.008262,0.002658,0.2134,0.012042,11,1873.9
300,614400,66448,1.9341,9.99,0.9900,0.9990,0.0000,-0.004012,0.001514,0.2365,0.010150,11,1939.3
310,634880,68501,1.9450,10.00,1.0000,1.0000,0.0000,-0.006253,0.000514,0.2212,0.011877,12,2004.8
320,655360,70561,1.8887,9.93,0.9500,0.9930,0.0000,-0.015828,0.016930,0.2642,0.021480,12,2070.2
330,675840,72616,1.9332,9.98,0.9900,0.9980,0.0000,-0.011459,0.000661,0.2550,0.011977,12,2135.0
340,696320,74667,1.9332,9.98,0.9900,0.9980,0.0000,-0.009537,0.002689,0.2836,0.014379,12,2199.9
350,716800,76719,1.9323,9.97,0.9900,0.9970,0.0000,-0.011078,0.001236,0.2406,0.012157,12,2265.3
360,737280,78772,1.9214,9.96,0.9800,0.9960,0.0000,-0.006062,0.001914,0.2078,0.013336,12,2331.1
370,757760,80825,1.9341,9.99,0.9900,0.9990,0.0000,-0.010571,0.004426,0.2394,0.014594,12,2396.8
380,778240,82881,1.8759,9.90,0.9400,0.9900,0.0000,-0.015903,0.011629,0.2461,0.019514,12,2462.6
390,798720,84937,1.9450,10.00,1.0000,1.0000,0.0000,-0.006535,0.000729,0.2109,0.012249,12,2528.1
400,819200,86997,1.9214,9.96,0.9800,0.9960,0.0000,-0.011926,0.006698,0.2114,0.015258,12,2593.4
410,839680,89052,1.9341,9.99,0.9900,0.9990,0.0000,-0.006851,0.002984,0.2119,0.015215,12,2658.7
420,860160,91106,1.9450,10.00,1.0000,1.0000,0.0000,-0.007245,0.001801,0.1962,0.009828,12,2723.6
430,880640,93161,1.9450,10.00,1.0000,1.0000,0.0000,-0.008394,0.000339,0.2393,0.011426,12,2789.1
440,901120,95215,1.9214,9.96,0.9800,0.9960,0.0000,-0.007292,0.003237,0.2545,0.014364,12,2854.6
450,921600,97277,1.9214,9.96,0.9800,0.9960,0.0000,-0.008948,0.002510,0.2150,0.011708,12,2920.2
460,942080,99331,1.8850,9.89,0.9500,0.9890,0.0000,-0.010742,0.011134,0.2182,0.020102,12,2985.8
470,962560,101398,1.5996,9.28,0.7200,0.9280,0.0000,-0.025722,0.029794,0.2555,0.070280,12,3051.2
480,983040,103455,1.9341,9.99,0.9900,0.9990,0.0000,-0.005590,0.001143,0.1423,0.016774,12,3116.9
490,1003520,105506,1.9450,10.00,1.0000,1.0000,0.0000,-0.005853,0.000241,0.1770,0.022115,12,3181.7
500,1024000,107563,1.9205,9.95,0.9800,0.9950,0.0000,-0.007806,0.002564,0.1877,0.017718,12,3246.5
510,1044480,109620,1.9332,9.98,0.9900,0.9980,0.0000,-0.004939,0.001264,0.1999,0.015254,12,3311.3
520,1064960,111673,1.9223,9.97,0.9800,0.9970,0.0000,-0.009228,0.006804,0.2075,0.014851,12,3374.9
530,1085440,113728,1.9096,9.94,0.9700,0.9940,0.0000,-0.007730,0.006325,0.2286,0.018874,12,3439.7
540,1105920,115784,1.9214,9.96,0.9800,0.9960,0.0000,-0.008103,0.001359,0.2182,0.012840,12,3504.4
550,1126400,117837,1.9086,9.93,0.9700,0.9930,0.0000,-0.007558,0.007631,0.1947,0.017348,12,3569.2
