update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
10,20480,10810,0.1985,3.02,0.0000,0.0000,1.0000,-0.062335,0.003748,4.4388,0.037160,0,67.4
20,40960,16580,0.3020,4.08,0.0000,0.0050,0.9900,-0.045529,0.003661,3.5271,0.043369,0,131.0
30,61440,21163,0.3497,4.58,0.0000,0.0070,0.9900,-0.038803,0.004277,2.9589,0.049523,0,195.7
40,81920,25273,0.4130,5.22,0.0000,0.0160,0.9700,-0.038177,0.004013,2.6069,0.051935,0,259.8
50,102400,29167,0.4386,5.47,0.0000,0.0290,0.9500,-0.031962,0.003894,2.3566,0.054374,0,325.0
60,122880,32863,0.4538,5.57,0.0000,0.0670,0.8900,-0.031992,0.004329,1.9236,0.058515,0,382.8
70,143360,36338,0.4745,5.72,0.0000,0.1120,0.8200,-0.032547,0.004016,1.8613,0.047055,0,442.2
80,163840,39868,0.4970,5.94,0.0000,0.1310,0.8000,-0.040426,0.004997,1.9472,0.056051,0,502.3
90,184320,43337,0.5374,6.20,0.0000,0.2560,0.6300,-0.033406,0.005427,1.6212,0.050739,0,562.6
100,204800,46585,0.5742,6.44,0.0000,0.3610,0.4800,-0.027177,0.003331,1.2668,0.045468,0,623.0
110,225280,49798,0.5799,6.53,0.0000,0.3400,0.5100,-0.030595,0.003667,1.2605,0.045544,0,689.2
120,245760,53057,0.5082,5.91,0.0000,0.2510,0.6400,-0.036231,0.007374,1.5062,0.053228,0,755.4
130,266240,56331,0.5172,6.03,0.0000,0.2300,0.6700,-0.038697,0.006614,1.4373,0.054339,0,821.2
140,286720,59593,0.5885,6.63,0.0000,0.3310,0.5200,-0.032465,0.004327,1.4141,0.050459,0,887.6
150,307200,62740,0.5848,6.62,0.0000,0.3130,0.5500,-0.028421,0.003432,1.4502,0.036039,0,953.9
160,327680,65990,0.5502,6.21,0.0000,0.3430,0.5000,-0.035370,0.005085,1.4550,0.053133,0,1020.0
170,348160,69153,0.5863,6.56,0.0000,0.3680,0.4700,-0.028287,0.003352,1.4573,0.042438,0,1086.3
180,368640,72377,0.5408,6.23,0.0000,0.2620,0.6200,-0.035820,0.006492,1.4789,0.047661,0,1152.4
190,389120,75646,0.5620,6.35,0.0000,0.3320,0.5200,-0.037790,0.004779,1.4632,0.054759,0,1218.7
200,409600,78776,0.5912,6.65,0.0000,0.3360,0.5100,-0.028597,0.003442,1.4214,0.048469,0,1285.0
210,430080,81934,0.6214,6.82,0.0000,0.4460,0.3600,-0.020707,0.002670,1.3998,0.039478,0,1350.8
220,450560,85124,0.6120,6.73,0.0000,0.4400,0.3700,-0.029060,0.003533,1.4088,0.044504,0,1416.4
230,471040,88329,0.5350,6.07,0.0000,0.3360,0.5200,-0.039571,0.006523,1.4624,0.051262,0,1482.7
240,491520,91516,0.5301,6.00,0.0000,0.3480,0.5000,-0.038318,0.007525,1.4419,0.069770,0,1548.8
250,512000,94690,0.5706,6.43,0.0000,0.3400,0.5100,-0.033130,0.004840,1.5072,0.053800,0,1615.0
260,532480,97973,0.5383,6.19,0.0000,0.2670,0.6100,-0.044803,0.005589,1.5925,0.055354,0,1681.5
270,552960,101187,0.5630,6.41,0.0000,0.2940,0.5700,-0.038599,0.003633,1.5012,0.043121,0,1748.0
280,573440,104324,0.6022,6.63,0.0000,0.4390,0.3700,-0.030034,0.002640,1.3741,0.034591,0,1814.3
290,593920,107503,0.5466,6.28,0.0000,0.2710,0.6100,-0.037873,0.005244,1.5605,0.055016,0,1880.6
300,614400,110613,0.5932,6.66,0.0000,0.3460,0.5000,-0.028145,0.004077,1.4599,0.043906,0,1946.8
310,634880,113766,0.5593,6.28,0.0000,0.3680,0.4700,-0.039252,0.004372,1.5306,0.044232,0,2012.5
320,655360,116905,0.6223,6.77,0.0000,0.4880,0.3000,-0.025446,0.003178,1.3159,0.047075,0,2078.7
330,675840,120123,0.5729,6.43,0.0000,0.3610,0.4800,-0.037836,0.004695,1.3491,0.050036,0,2145.1
340,696320,123408,0.4955,5.72,0.0000,0.2920,0.5800,-0.040810,0.008112,1.5769,0.054515,0,2211.3
350,716800,126589,0.5519,6.29,0.0000,0.3070,0.5600,-0.035635,0.004713,1.4885,0.048948,0,2277.8
360,737280,129739,0.6090,6.74,0.0000,0.4120,0.4100,-0.028004,0.003645,1.4264,0.038323,0,2344.1
370,757760,132815,0.6091,6.76,0.0000,0.3980,0.4300,-0.029061,0.003008,1.3697,0.045108,0,2409.5
380,778240,135927,0.6051,6.64,0.0000,0.4550,0.3500,-0.029922,0.003820,1.4127,0.042450,0,2475.9
390,798720,139033,0.5996,6.72,0.0000,0.3550,0.4900,-0.030993,0.003655,1.4669,0.040200,0,2541.8
400,819200,142181,0.6064,6.80,0.0000,0.3480,0.5000,-0.032640,0.003093,1.3884,0.040070,0,2607.9
410,839680,145320,0.5884,6.63,0.0000,0.3310,0.5200,-0.025948,0.003339,1.5505,0.050860,0,2674.3
420,860160,148487,0.5670,6.30,0.0000,0.4070,0.4100,-0.030133,0.004214,1.4318,0.049376,0,2740.7
430,880640,151592,0.5700,6.42,0.0000,0.3480,0.5000,-0.036084,0.004616,1.4090,0.048001,0,2807.1
440,901120,154679,0.5999,6.71,0.0000,0.3610,0.4800,-0.029177,0.002946,1.4157,0.045214,0,2873.2
450,921600,157931,0.5397,6.19,0.0000,0.2860,0.5900,-0.039567,0.005336,1.5579,0.058590,0,2939.6
460,942080,161036,0.5907,6.51,0.0000,0.4410,0.3700,-0.031370,0.005011,1.4121,0.050408,0,3006.0
470,962560,164140,0.5950,6.69,0.0000,0.3390,0.5100,-0.026107,0.004464,1.4194,0.044491,0,3072.2
480,983040,167397,0.5475,6.23,0.0000,0.3120,0.5500,-0.039048,0.005449,1.5672,0.050646,0,3137.9
490,1003520,170638,0.5494,6.24,0.0000,0.3180,0.5400,-0.038845,0.007189,1.4884,0.058873,0,3204.0
500,1024000,173765,0.6174,6.76,0.0000,0.4580,0.3400,-0.026026,0.002742,1.3977,0.035501,0,3270.4
510,1044480,176875,0.5854,6.53,0.0000,0.3840,0.4500,-0.030856,0.003569,1.4307,0.036669,0,3336.6
520,1064960,180013,0.5984,6.63,0.0000,0.4120,0.4100,-0.028015,0.003494,1.3813,0.042507,0,3403.0
530,1085440,183134,0.6049,6.67,0.0000,0.4320,0.3800,-0.028020,0.002198,1.3507,0.032127,0,3469.4
540,1105920,186349,0.5009,5.84,0.0000,0.2440,0.6500,-0.050068,0.007283,1.5638,0.068168,0,3535.7
550,1126400,189595,0.5756,6.45,0.0000,0.3700,0.4700,-0.034487,0.004602,1.4764,0.051688,0,3602.0
560,1146880,192710,0.5959,6.75,0.0000,0.3080,0.5600,-0.035046,0.004429,1.4917,0.042864,0,3668.4
570,1167360,195799,0.6116,6.79,0.0000,0.3980,0.4300,-0.025919,0.002949,1.4418,0.041081,0,3734.2
580,1187840,198990,0.4980,5.85,0.0000,0.2150,0.6900,-0.043166,0.007196,1.5139,0.071764,0,3800.3
590,1208320,202190,0.5692,6.45,0.0000,0.3170,0.5400,-0.034781,0.005130,1.4982,0.043452,0,3866.6
600,1228800,205346,0.6147,6.74,0.0000,0.4550,0.3500,-0.030974,0.003263,1.4305,0.037232,0,3933.0
610,1249280,208528,0.5688,6.45,0.0000,0.3190,0.5400,-0.036352,0.003945,1.4747,0.038479,0,3999.0
620,1269760,211632,0.6062,6.75,0.0000,0.3840,0.4500,-0.034574,0.002823,1.4040,0.039915,0,4065.2
630,1290240,214741,0.6088,6.78,0.0000,0.3810,0.4500,-0.031980,0.003592,1.4116,0.033363,0,4131.6
640,1310720,217940,0.5436,6.18,0.0000,0.3180,0.5400,-0.039322,0.006559,1.4617,0.069695,0,4198.0
650,1331200,221181,0.5724,6.50,0.0000,0.3030,0.5600,-0.035690,0.005407,1.4546,0.051897,0,4263.9
660,1351680,224358,0.5968,6.66,0.0000,0.3750,0.4600,-0.032150,0.003698,1.4470,0.041513,0,4330.1
670,1372160,227480,0.6072,6.75,0.0000,0.3890,0.4400,-0.026178,0.003065,1.2919,0.040456,0,4396.1
680,1392640,230602,0.5941,6.65,0.0000,0.3600,0.4800,-0.032662,0.003777,1.4923,0.042199,0,4462.4
690,1413120,233707,0.5537,6.28,0.0000,0.3240,0.5300,-0.032677,0.004840,1.4209,0.045642,0,4528.9
700,1433600,236782,0.5821,6.50,0.0000,0.3830,0.4500,-0.023981,0.004011,1.4328,0.058254,0,4595.4
710,1454080,239963,0.5530,6.26,0.0000,0.3320,0.5200,-0.037931,0.005580,1.4923,0.053411,0,4661.6
720,1474560,243060,0.5918,6.62,0.0000,0.3690,0.4700,-0.029121,0.004315,1.4462,0.050809,0,4728.1
730,1495040,246295,0.5985,6.68,0.0000,0.3750,0.4600,-0.030538,0.003485,1.3896,0.044590,0,4794.7
740,1515520,249414,0.5386,6.29,0.0000,0.2010,0.7100,-0.044611,0.005829,1.4459,0.075557,0,4861.0
750,1536000,252570,0.5911,6.62,0.0000,0.3630,0.4800,-0.028982,0.003076,1.4668,0.037295,0,4927.4
760,1556480,255746,0.6055,6.82,0.0000,0.3230,0.5300,-0.028726,0.003074,1.5526,0.040864,0,4993.3
770,1576960,258836,0.5717,6.35,0.0000,0.4100,0.4100,-0.032091,0.004761,1.4645,0.040525,0,5059.3
