update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
10,20480,2898,0.6993,7.30,0.0000,0.7300,0.0000,-0.040708,0.001781,2.4832,0.014490,0,65.8
20,40960,5712,0.7067,7.38,0.0000,0.7380,0.0000,-0.041629,0.001771,2.4083,0.015248,0,131.6
30,61440,8484,0.7031,7.34,0.0000,0.7340,0.0000,-0.045063,0.001534,2.3043,0.015729,1,197.4
40,81920,11240,0.7049,7.36,0.0000,0.7360,0.0000,-0.042543,0.001833,2.1908,0.016753,2,263.1
50,102400,13963,0.7233,7.56,0.0000,0.7560,0.0000,-0.042856,0.001449,1.9928,0.017710,3,328.5
60,122880,16667,0.7169,7.49,0.0000,0.7490,0.0000,-0.043503,0.001743,1.9971,0.019588,5,394.3
70,143360,19368,0.7132,7.45,0.0000,0.7450,0.0000,-0.046472,0.001425,1.9714,0.018767,6,460.1
80,163840,22059,0.7178,7.50,0.0000,0.7500,0.0000,-0.044871,0.001577,1.8735,0.024531,6,525.6
90,184320,24721,0.7398,7.74,0.0000,0.7740,0.0000,-0.044873,0.001491,1.7048,0.022308,6,591.3
100,204800,27367,0.7297,7.63,0.0000,0.7630,0.0000,-0.046164,0.001601,1.7129,0.019614,9,656.6
110,225280,29999,0.7425,7.77,0.0000,0.7770,0.0000,-0.039710,0.003421,1.7453,0.020817,13,722.2
120,245760,32622,0.7608,7.86,0.0100,0.7860,0.0000,-0.036049,0.004969,1.5869,0.019968,13,788.1
130,266240,35247,0.7780,7.83,0.0300,0.7830,0.0000,-0.027949,0.006675,1.4389,0.020855,14,854.1
140,286720,37844,0.8036,7.89,0.0500,0.7890,0.0000,-0.023791,0.018611,1.5841,0.020574,17,919.3
150,307200,40481,0.8089,7.84,0.0600,0.7840,0.0000,-0.029960,0.018640,1.7163,0.019890,19,985.3
160,327680,43097,0.9715,8.09,0.2000,0.8090,0.0000,-0.028811,0.034794,1.3848,0.016904,20,1051.3
170,348160,45527,1.2952,8.79,0.4600,0.8790,0.0000,-0.022158,0.052820,0.5545,0.021329,20,1117.3
180,368640,47720,1.6833,9.54,0.7800,0.9540,0.0000,-0.017849,0.050547,0.2294,0.025771,20,1183.1
190,389120,49855,1.8396,9.83,0.9100,0.9830,0.0000,-0.012739,0.021878,0.2145,0.014233,20,1249.0
200,409600,51998,1.7778,9.70,0.8600,0.9700,0.0000,-0.015944,0.025855,0.2764,0.016402,21,1315.1
210,430080,54094,1.7587,9.71,0.8400,0.9710,0.0000,-0.017425,0.032476,0.3279,0.018746,21,1381.2
220,450560,56223,1.8596,9.83,0.9300,0.9830,0.0000,-0.018231,0.020405,0.3551,0.014386,21,1447.3
230,471040,58335,1.8486,9.82,0.9200,0.9820,0.0000,-0.019875,0.016857,0.3935,0.014790,21,1512.8
240,491520,60423,1.7787,9.71,0.8600,0.9710,0.0000,-0.019480,0.034239,0.4129,0.019212,21,1578.5
250,512000,62563,1.6541,9.44,0.7600,0.9440,0.0000,-0.025723,0.042106,0.5129,0.018969,21,1644.7
260,532480,64686,1.8968,9.91,0.9600,0.9910,0.0000,-0.009061,0.008699,0.3471,0.025371,21,1710.4
270,552960,66809,1.6259,9.35,0.7400,0.9350,0.0000,-0.023585,0.033356,0.5775,0.024316,21,1776.6
280,573440,68923,1.7041,9.55,0.8000,0.9550,0.0000,-0.023949,0.038324,0.4555,0.018271,21,1842.8
290,593920,71037,1.6878,9.48,0.7900,0.9480,0.0000,-0.021749,0.032609,0.4826,0.020435,21,1908.8
300,614400,73166,1.7787,9.71,0.8600,0.9710,0.0000,-0.019862,0.030219,0.4139,0.015439,21,1975.1
310,634880,75255,1.8468,9.80,0.9200,0.9800,0.0000,-0.012342,0.017867,0.3626,0.011070,21,2041.1
320,655360,77370,1.8705,9.84,0.9400,0.9840,0.0000,-0.017190,0.008346,0.3623,0.009975,21,2107.6
330,675840,79577,1.8577,9.81,0.9300,0.9810,0.0000,-0.014528,0.016952,0.3733,0.012271,22,2173.4
340,696320,81685,1.7259,9.57,0.8200,0.9570,0.0000,-0.021195,0.048928,0.4472,0.026226,22,2239.5
350,716800,83828,1.8232,9.76,0.9000,0.9760,0.0000,-0.022395,0.020996,0.4117,0.017439,22,2305.6
360,737280,85996,1.8614,9.85,0.9300,0.9850,0.0000,-0.022139,0.016248,0.4045,0.014147,22,2371.6
370,757760,88110,1.7141,9.55,0.8100,0.9550,0.0000,-0.028784,0.036797,0.4794,0.019258,23,2437.6
380,778240,90242,1.4722,8.98,0.6200,0.8980,0.0000,-0.041087,0.043034,0.6496,0.030840,23,2503.5
390,798720,92405,1.7959,9.68,0.8800,0.9680,0.0000,-0.018244,0.029671,0.3741,0.023765,23,2569.8
400,819200,94548,1.8478,9.81,0.9200,0.9810,0.0000,-0.014636,0.014210,0.3378,0.012793,23,2635.7
410,839680,96632,1.7950,9.67,0.8800,0.9670,0.0000,-0.023162,0.018974,0.4417,0.014224,23,2701.4
420,860160,98739,1.8350,9.78,0.9100,0.9780,0.0000,-0.020522,0.019957,0.4098,0.014973,23,2767.3
430,880640,100889,1.8723,9.86,0.9400,0.9860,0.0000,-0.015368,0.014328,0.3531,0.013046,23,2833.5
440,901120,102988,1.8732,9.87,0.9400,0.9870,0.0000,-0.012200,0.012045,0.3496,0.013086,23,2899.6
450,921600,105126,1.7977,9.70,0.8800,0.9700,0.0000,-0.020802,0.022412,0.4282,0.016337,24,2965.7
460,942080,107231,1.8859,9.90,0.9500,0.9900,0.0000,-0.013714,0.011742,0.3619,0.013114,24,3031.6
