update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
10,20480,2898,0.6864,7.16,0.0000,0.7160,0.0000,-0.042661,0.001975,2.5779,0.012663,2,62.3
20,40960,5720,0.7096,7.41,0.0000,0.7410,0.0000,-0.047764,0.001531,2.3675,0.017602,2,126.3
30,61440,8504,0.7141,7.46,0.0000,0.7460,0.0000,-0.042554,0.001625,2.3023,0.017803,2,188.6
40,81920,11262,0.7188,7.51,0.0000,0.7510,0.0000,-0.045451,0.001706,2.2639,0.017026,2,254.4
50,102400,13978,0.7298,7.63,0.0000,0.7630,0.0000,-0.046543,0.001593,2.0655,0.018693,2,319.5
60,122880,16684,0.7334,7.67,0.0000,0.7670,0.0000,-0.040568,0.001610,2.0181,0.018756,2,384.0
70,143360,19375,0.7280,7.61,0.0000,0.7610,0.0000,-0.045204,0.001642,2.0126,0.021618,3,449.1
80,163840,22043,0.7399,7.74,0.0000,0.7740,0.0000,-0.048495,0.001520,1.8880,0.019513,4,514.6
90,184320,24709,0.7242,7.57,0.0000,0.7570,0.0000,-0.049834,0.001794,1.9222,0.020709,8,580.2
100,204800,27357,0.7399,7.74,0.0000,0.7740,0.0000,-0.044499,0.001365,1.8593,0.021803,8,646.0
110,225280,30003,0.7390,7.73,0.0000,0.7730,0.0000,-0.049235,0.001590,1.8842,0.021301,10,711.7
120,245760,32640,0.7427,7.77,0.0000,0.7770,0.0000,-0.049925,0.001383,1.7733,0.024239,10,777.1
130,266240,35254,0.7509,7.86,0.0000,0.7860,0.0000,-0.048729,0.001740,1.6865,0.022855,13,842.7
140,286720,37861,0.7573,7.93,0.0000,0.7930,0.0000,-0.043831,0.001395,1.5706,0.024943,14,908.0
150,307200,40446,0.7472,7.82,0.0000,0.7820,0.0000,-0.047142,0.001651,1.6374,0.026105,19,973.0
160,327680,43037,0.7573,7.93,0.0000,0.7930,0.0000,-0.045044,0.001717,1.6312,0.022972,20,1037.5
170,348160,45623,0.7655,8.02,0.0000,0.8020,0.0000,-0.045859,0.001453,1.5007,0.022259,20,1103.3
180,368640,48172,0.7665,8.03,0.0000,0.8030,0.0000,-0.044455,0.001292,1.3702,0.025401,22,1169.0
190,389120,50718,0.7710,8.08,0.0000,0.8080,0.0000,-0.044212,0.001499,1.3560,0.022712,24,1234.8
200,409600,53238,0.7610,7.97,0.0000,0.7970,0.0000,-0.043247,0.001470,1.3440,0.023271,27,1301.0
210,430080,55787,0.7710,8.08,0.0000,0.8080,0.0000,-0.039049,0.005052,1.4451,0.021091,32,1367.0
220,450560,58348,0.7773,8.04,0.0100,0.8040,0.0000,-0.036423,0.006813,1.5470,0.020899,40,1431.4
230,471040,60918,0.7527,7.88,0.0000,0.7880,0.0000,-0.039264,0.005325,1.4974,0.021702,44,1496.5
240,491520,63500,0.7452,7.69,0.0100,0.7690,0.0000,-0.043173,0.005039,1.6868,0.024237,49,1562.7
250,512000,66112,0.7325,7.66,0.0000,0.7660,0.0000,-0.048722,0.003217,1.7878,0.023848,51,1628.8
260,532480,68719,0.7792,7.95,0.0200,0.7950,0.0000,-0.033611,0.009767,1.7974,0.019285,55,1691.6
270,552960,71352,0.7570,7.71,0.0200,0.7710,0.0000,-0.032000,0.015577,1.7997,0.016757,57,1755.2
280,573440,73970,0.9408,8.19,0.1600,0.8190,0.0000,-0.032345,0.019888,1.7021,0.019074,57,1818.4
290,593920,76524,1.0778,8.27,0.2900,0.8270,0.0000,-0.023106,0.029827,1.4400,0.016009,57,1881.6
300,614400,79022,0.9278,7.94,0.1700,0.7940,0.0000,-0.028772,0.038449,1.3646,0.018306,58,1944.4
310,634880,81493,1.0460,8.25,0.2600,0.8250,0.0000,-0.026006,0.040187,1.3257,0.027203,58,2007.4
320,655360,83921,1.2315,8.64,0.4100,0.8640,0.0000,-0.026914,0.034920,1.0792,0.022138,59,2071.0
330,675840,86244,1.3496,8.84,0.5100,0.8840,0.0000,-0.029438,0.056186,0.7904,0.025775,59,2134.2
340,696320,88440,1.8359,9.79,0.9100,0.9790,0.0000,-0.018380,0.026128,0.2741,0.016214,59,2197.2
350,716800,90546,1.8150,9.78,0.8900,0.9780,0.0000,-0.014949,0.020384,0.2562,0.019231,59,2259.3
360,737280,92664,1.8287,9.82,0.9000,0.9820,0.0000,-0.018126,0.021898,0.3187,0.016951,59,2322.6
370,757760,94793,1.8269,9.80,0.9000,0.9800,0.0000,-0.016113,0.018399,0.3431,0.013294,59,2385.5
380,778240,96881,1.8160,9.79,0.8900,0.9790,0.0000,-0.018631,0.031091,0.4248,0.015805,59,2448.6
390,798720,98976,1.8869,9.91,0.9500,0.9910,0.0000,-0.011759,0.014165,0.4012,0.011902,60,2511.9
400,819200,101079,1.8241,9.77,0.9000,0.9770,0.0000,-0.020275,0.021870,0.4585,0.015843,60,2575.1
410,839680,103159,1.8741,9.88,0.9400,0.9880,0.0000,-0.019021,0.014201,0.4508,0.012337,60,2638.5
420,860160,105246,1.8632,9.87,0.9300,0.9870,0.0000,-0.014848,0.012951,0.4366,0.015536,60,2701.6
430,880640,107319,1.8868,9.91,0.9500,0.9910,0.0000,-0.013368,0.008206,0.4153,0.013627,60,2764.8
440,901120,109397,1.7968,9.69,0.8800,0.9690,0.0000,-0.019150,0.013683,0.4906,0.015002,60,2827.7
450,921600,111477,1.8977,9.92,0.9600,0.9920,0.0000,-0.015466,0.014016,0.4841,0.012896,60,2890.7
460,942080,113581,1.7924,9.75,0.8700,0.9750,0.0000,-0.024098,0.026348,0.5218,0.018805,60,2954.1
470,962560,115656,1.8996,9.94,0.9600,0.9940,0.0000,-0.017123,0.013585,0.4469,0.012685,60,3017.3
480,983040,117761,1.8605,9.84,0.9300,0.9840,0.0000,-0.018838,0.008238,0.4766,0.011102,60,3080.6
490,1003520,119850,1.8369,9.80,0.9100,0.9800,0.0000,-0.017215,0.015124,0.5072,0.017029,60,3144.0
500,1024000,121934,1.8596,9.83,0.9300,0.9830,0.0000,-0.022522,0.013371,0.4688,0.016416,60,3207.3
510,1044480,124027,1.8596,9.83,0.9300,0.9830,0.0000,-0.012003,0.014581,0.4731,0.014068,60,3270.5
520,1064960,126104,1.8968,9.91,0.9600,0.9910,0.0000,-0.012360,0.007337,0.4342,0.013335,60,3333.4
530,1085440,128194,1.7759,9.68,0.8600,0.9680,0.0000,-0.019906,0.022242,0.4816,0.016684,60,3395.8
540,1105920,130280,1.9341,9.99,0.9900,0.9990,0.0000,-0.011667,0.007632,0.4073,0.010800,60,3457.7
550,1126400,132349,1.8741,9.88,0.9400,0.9880,0.0000,-0.012331,0.008483,0.4376,0.013027,61,3520.4
560,1146880,134449,1.7759,9.68,0.8600,0.9680,0.0000,-0.020485,0.033280,0.4986,0.020032,62,3583.0
570,1167360,136563,1.8387,9.82,0.9100,0.9820,0.0000,-0.019220,0.023708,0.4669,0.015629,62,3645.8
580,1187840,138638,1.9077,9.92,0.9700,0.9920,0.0000,-0.012751,0.008500,0.4370,0.011479,62,3708.8
590,1208320,140717,1.8596,9.83,0.9300,0.9830,0.0000,-0.017007,0.013535,0.4488,0.014809,62,3771.9
600,1228800,142788,1.8468,9.80,0.9200,0.9800,0.0000,-0.020931,0.016608,0.4786,0.017116,62,3834.9
610,1249280,144886,1.8187,9.82,0.8900,0.9820,0.0000,-0.019917,0.024109,0.4371,0.016289,62,3898.0
620,1269760,146973,1.7296,9.61,0.8200,0.9610,0.0000,-0.023749,0.028361,0.5316,0.018802,63,3961.3
630,1290240,149055,1.7050,9.56,0.8000,0.9560,0.0000,-0.030284,0.036832,0.5760,0.025369,63,4024.7
640,1310720,151141,1.8977,9.92,0.9600,0.9920,0.0000,-0.021470,0.015813,0.4662,0.014669,63,4087.8
650,1331200,153247,1.9096,9.94,0.9700,0.9940,0.0000,-0.016378,0.003565,0.4100,0.013275,63,4151.1
660,1351680,155317,1.9313,9.96,0.9900,0.9960,0.0000,-0.016854,0.002158,0.3974,0.011386,63,4214.2
670,1372160,157405,1.8005,9.73,0.8800,0.9730,0.0000,-0.018448,0.026189,0.4599,0.018869,63,4277.3
680,1392640,159521,1.6104,9.29,0.7300,0.9290,0.0000,-0.034131,0.037484,0.6225,0.024422,63,4340.7
690,1413120,161630,1.8105,9.73,0.8900,0.9730,0.0000,-0.023015,0.018540,0.4701,0.017912,63,4403.9
700,1433600,163707,1.8868,9.91,0.9500,0.9910,0.0000,-0.016759,0.012545,0.4805,0.014670,63,4467.0
710,1454080,165790,1.7213,9.52,0.8200,0.9520,0.0000,-0.026354,0.026055,0.5367,0.021170,63,4530.2
720,1474560,167869,1.9096,9.94,0.9700,0.9940,0.0000,-0.015021,0.007048,0.4422,0.010972,63,4593.4
730,1495040,169964,1.6405,9.40,0.7500,0.9400,0.0000,-0.028654,0.043279,0.6186,0.020221,63,4656.2
740,1515520,172050,1.9332,9.98,0.9900,0.9980,0.0000,-0.014070,0.002366,0.4215,0.013182,63,4720.3
750,1536000,174149,1.8241,9.77,0.9000,0.9770,0.0000,-0.020328,0.021671,0.4774,0.015726,63,4783.9
760,1556480,176226,1.8977,9.92,0.9600,0.9920,0.0000,-0.016089,0.008482,0.4526,0.011633,63,4847.5
770,1576960,178305,1.8496,9.83,0.9200,0.9830,0.0000,-0.011044,0.012290,0.4607,0.014011,63,4912.2
780,1597440,180396,1.8713,9.85,0.9400,0.9850,0.0000,-0.019815,0.020613,0.4943,0.017835,63,4975.5
790,1617920,182492,1.9077,9.92,0.9700,0.9920,0.0000,-0.016758,0.008090,0.4282,0.012378,63,5037.1
800,1638400,184564,1.9450,10.00,1.0000,1.0000,0.0000,-0.014622,0.002786,0.4177,0.011188,63,5097.4
810,1658880,186641,1.8505,9.84,0.9200,0.9840,0.0000,-0.016980,0.015827,0.4669,0.016743,63,5158.0
820,1679360,188732,1.8623,9.86,0.9300,0.9860,0.0000,-0.017731,0.020174,0.4486,0.021108,63,5220.6
830,1699840,190807,1.9195,9.94,0.9800,0.9940,0.0000,-0.015433,0.004969,0.4529,0.011320,63,5281.0
840,1720320,192887,1.8968,9.91,0.9600,0.9910,0.0000,-0.013828,0.012606,0.4689,0.012802,63,5342.4
850,1740800,194991,1.8741,9.88,0.9400,0.9880,0.0000,-0.014376,0.009876,0.4567,0.014460,64,5403.9
860,1761280,197081,1.8686,9.82,0.9400,0.9820,0.0000,-0.017232,0.011423,0.4687,0.013183,65,5465.4
870,1781760,199162,1.8322,9.75,0.9100,0.9750,0.0000,-0.023424,0.015517,0.4996,0.014591,65,5527.3
880,1802240,201271,1.7723,9.64,0.8600,0.9640,0.0000,-0.023757,0.020863,0.4872,0.015531,65,5590.0
890,1822720,203354,1.8260,9.79,0.9000,0.9790,0.0000,-0.020624,0.019890,0.4933,0.017464,65,5652.9
900,1843200,205457,1.8468,9.80,0.9200,0.9800,0.0000,-0.018475,0.010813,0.4924,0.014491,65,5715.3
910,1863680,207532,1.8941,9.88,0.9600,0.9880,0.0000,-0.019371,0.008353,0.4963,0.016441,65,5777.6
920,1884160,209622,1.8159,9.79,0.8900,0.9790,0.0000,-0.017286,0.020291,0.4768,0.019085,65,5840.2
930,1904640,211696,1.9186,9.93,0.9800,0.9930,0.0000,-0.011630,0.003730,0.4119,0.010295,65,5903.3
940,1925120,213784,1.8959,9.90,0.9600,0.9900,0.0000,-0.013872,0.012517,0.4187,0.012265,65,5966.4
950,1945600,215881,1.7396,9.61,0.8300,0.9610,0.0000,-0.020221,0.028707,0.5103,0.019746,65,6029.2
960,1966080,217962,1.9077,9.92,0.9700,0.9920,0.0000,-0.011236,0.008497,0.4166,0.012198,65,6092.8
970,1986560,220063,1.6676,9.37,0.7800,0.9370,0.0000,-0.030101,0.027886,0.5836,0.029540,65,6156.4
