update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
10,20480,2899,0.6883,7.18,0.0000,0.7180,0.0000,-0.037506,0.001790,2.4789,0.016032,0,57.7
20,40960,5688,0.7003,7.31,0.0000,0.7310,0.0000,-0.040984,0.001691,2.2102,0.017195,0,115.0
30,61440,8419,0.7334,7.67,0.0000,0.7670,0.0000,-0.036617,0.001729,1.8760,0.022980,0,171.1
40,81920,11097,0.7362,7.70,0.0000,0.7700,0.0000,-0.035258,0.001471,1.4353,0.026613,1,226.6
50,102400,13675,0.7573,7.93,0.0000,0.7930,0.0000,-0.020691,0.001515,0.9878,0.029449,4,281.8
60,122880,16135,0.8177,8.59,0.0000,0.8590,0.0000,-0.015411,0.001197,0.5145,0.028213,7,338.2
70,143360,18499,1.0456,8.79,0.2100,0.8790,0.0000,-0.021053,0.049938,0.4512,0.037418,9,393.7
80,163840,20625,1.8541,9.88,0.9200,0.9880,0.0000,-0.008330,0.025120,0.1204,0.037579,10,448.5
90,184320,22698,1.8750,9.89,0.9400,0.9890,0.0000,-0.008402,0.014447,0.1727,0.018636,10,503.9
100,204800,24758,1.9205,9.95,0.9800,0.9950,0.0000,-0.001431,0.007233,0.1136,0.011806,10,560.4
110,225280,26830,1.9105,9.95,0.9700,0.9950,0.0000,-0.006797,0.006161,0.2216,0.011073,10,617.8
120,245760,28890,1.9450,10.00,1.0000,1.0000,0.0000,-0.003164,0.001768,0.1995,0.009708,10,673.1
130,266240,30949,1.9332,9.98,0.9900,0.9980,0.0000,-0.002538,0.006319,0.2246,0.013132,10,727.6
140,286720,33010,1.9205,9.95,0.9800,0.9950,0.0000,-0.009147,0.012057,0.2644,0.017410,10,785.5
150,307200,35069,1.9232,9.98,0.9800,0.9980,0.0000,-0.009201,0.003569,0.2165,0.014634,10,845.8
160,327680,37128,1.8968,9.91,0.9600,0.9910,0.0000,-0.006218,0.005714,0.2574,0.015916,10,907.5
170,348160,39188,1.8750,9.89,0.9400,0.9890,0.0000,-0.010099,0.015351,0.2427,0.022939,10,967.6
180,368640,41275,1.9223,9.97,0.9800,0.9970,0.0000,-0.004287,0.003083,0.2140,0.010763,10,1031.6
190,389120,43336,1.9323,9.97,0.9900,0.9970,0.0000,-0.004061,0.001448,0.2488,0.009502,10,1094.9
200,409600,45391,1.8741,9.88,0.9400,0.9880,0.0000,-0.008560,0.011214,0.2241,0.013801,10,1157.3
210,430080,47446,1.9450,10.00,1.0000,1.0000,0.0000,-0.006342,0.001376,0.2131,0.010702,10,1221.4
220,450560,49507,1.9232,9.98,0.9800,0.9980,0.0000,-0.009631,0.004894,0.2225,0.014710,11,1285.9
230,471040,51576,1.8841,9.88,0.9500,0.9880,0.0000,-0.013917,0.006632,0.2181,0.018259,11,1350.4
240,491520,53650,1.9341,9.99,0.9900,0.9990,0.0000,-0.005653,0.003195,0.2365,0.009858,11,1415.2
250,512000,55714,1.8614,9.85,0.9300,0.9850,0.0000,-0.014528,0.013559,0.2420,0.022492,11,1480.2
260,532480,57771,1.9450,10.00,1.0000,1.0000,0.0000,-0.006929,0.002679,0.1768,0.012464,11,1544.6
270,552960,59825,1.9005,9.95,0.9600,0.9950,0.0000,-0.010730,0.006053,0.2225,0.013445,11,1609.0
280,573440,61890,1.9332,9.98,0.9900,0.9980,0.0000,-0.010048,0.003466,0.2193,0.009124,11,1673.9
290,593920,63944,1.9332,9.98,0.9900,0.9980,0.0000,-0.007323,0.003058,0.2270,0.015014,12,1738.4
300,614400,66003,1.9341,9.99,0.9900,0.9990,0.0000,-0.011397,0.003836,0.2348,0.011649,12,1803.3
310,634880,68061,1.7524,9.75,0.8300,0.9750,0.0000,-0.019061,0.036914,0.2228,0.034633,12,1868.0
320,655360,70114,1.9450,10.00,1.0000,1.0000,0.0000,-0.003526,0.001345,0.1793,0.009162,12,1932.6
330,675840,72190,1.8968,9.91,0.9600,0.9910,0.0000,-0.010021,0.009940,0.2169,0.013530,12,1997.1
340,696320,74249,1.8978,9.92,0.9600,0.9920,0.0000,-0.012771,0.005369,0.1979,0.018182,12,2062.0
350,716800,76303,1.9332,9.98,0.9900,0.9980,0.0000,-0.006311,0.001675,0.1892,0.007859,12,2126.7
360,737280,78357,1.9450,10.00,1.0000,1.0000,0.0000,-0.008158,0.000369,0.2015,0.008055,12,2191.4
370,757760,80410,1.9223,9.97,0.9800,0.9970,0.0000,-0.008941,0.004159,0.1702,0.011108,12,2255.4
380,778240,82462,1.8896,9.94,0.9500,0.9940,0.0000,-0.007727,0.011641,0.1862,0.014003,12,2320.2
390,798720,84515,1.9332,9.98,0.9900,0.9980,0.0000,-0.006255,0.006030,0.1870,0.010220,12,2384.7
400,819200,86570,1.9205,9.95,0.9800,0.9950,0.0000,-0.006601,0.003466,0.2067,0.013137,12,2449.6
410,839680,88628,1.9341,9.99,0.9900,0.9990,0.0000,-0.004534,0.004300,0.2064,0.011861,12,2515.0
420,860160,90682,1.9450,10.00,1.0000,1.0000,0.0000,-0.004460,0.000366,0.1913,0.010733,12,2581.1
430,880640,92735,1.8868,9.91,0.9500,0.9910,0.0000,-0.010573,0.002945,0.1843,0.014354,12,2647.2
440,901120,94796,1.9341,9.99,0.9900,0.9990,0.0000,-0.009538,0.007320,0.1948,0.013506,12,2712.7
450,921600,96850,1.9450,10.00,1.0000,1.0000,0.0000,-0.005459,0.002937,0.1811,0.009031,12,2778.5
460,942080,98904,1.9205,9.95,0.9800,0.9950,0.0000,-0.006416,0.003728,0.1944,0.011998,12,2844.5
470,962560,100957,1.9450,10.00,1.0000,1.0000,0.0000,-0.007908,0.001320,0.1922,0.011525,12,2910.4
480,983040,103015,1.9214,9.96,0.9800,0.9960,0.0000,-0.006762,0.002760,0.1950,0.011645,12,2976.3
490,1003520,105069,1.9450,10.00,1.0000,1.0000,0.0000,-0.012500,0.000376,0.2205,0.016673,12,3042.1
500,1024000,107130,1.9450,10.00,1.0000,1.0000,0.0000,-0.009556,0.000326,0.2260,0.007650,12,3107.8
510,1044480,109184,1.9450,10.00,1.0000,1.0000,0.0000,-0.008271,0.001077,0.1974,0.008671,12,3173.7
520,1064960,111236,1.9313,9.96,0.9900,0.9960,0.0000,-0.007729,0.003154,0.1763,0.009707,12,3239.5
530,1085440,113299,1.9323,9.97,0.9900,0.9970,0.0000,-0.004552,0.003143,0.1571,0.014053,12,3305.0
540,1105920,115352,1.9332,9.98,0.9900,0.9980,0.0000,-0.004487,0.001534,0.1242,0.007827,12,3370.8
550,1126400,117410,1.9450,10.00,1.0000,1.0000,0.0000,-0.008408,0.004403,0.1656,0.012555,12,3436.4
560,1146880,119463,1.9105,9.95,0.9700,0.9950,0.0000,-0.004219,0.004623,0.1701,0.009953,12,3501.5
570,1167360,121529,1.9450,10.00,1.0000,1.0000,0.0000,-0.008064,0.000223,0.1957,0.012136,12,3565.8
580,1187840,123586,1.9214,9.96,0.9800,0.9960,0.0000,-0.007994,0.007611,0.1822,0.015217,13,3630.6
590,1208320,125641,1.9450,10.00,1.0000,1.0000,0.0000,-0.006591,0.001735,0.1753,0.011635,13,3695.8
600,1228800,127709,1.9332,9.98,0.9900,0.9980,0.0000,-0.006544,0.004510,0.1879,0.015101,13,3760.6
610,1249280,129765,1.9323,9.97,0.9900,0.9970,0.0000,-0.007618,0.002197,0.2105,0.008180,13,3825.8
620,1269760,131816,1.9214,9.96,0.9800,0.9960,0.0000,-0.009559,0.003608,0.1985,0.011675,13,3890.8
630,1290240,133871,1.9114,9.96,0.9700,0.9960,0.0000,-0.008950,0.006574,0.2208,0.013075,13,3955.9
640,1310720,135924,1.9450,10.00,1.0000,1.0000,0.0000,-0.010066,0.000326,0.2113,0.009904,13,4020.9
650,1331200,137977,1.9323,9.97,0.9900,0.9970,0.0000,-0.008610,0.002631,0.1932,0.011837,13,4086.0
660,1351680,140030,1.9205,9.95,0.9800,0.9950,0.0000,-0.006940,0.002770,0.1853,0.012968,13,4150.6
670,1372160,142082,1.9341,9.99,0.9900,0.9990,0.0000,-0.008351,0.000976,0.1726,0.010906,13,4215.5
680,1392640,144135,1.9332,9.98,0.9900,0.9980,0.0000,-0.006198,0.001506,0.1792,0.012426,13,4280.2
690,1413120,146190,1.9450,10.00,1.0000,1.0000,0.0000,-0.005362,0.003613,0.1806,0.013592,13,4344.9
700,1433600,148242,1.9332,9.98,0.9900,0.9980,0.0000,-0.004421,0.003127,0.1689,0.013006,13,4409.9
710,1454080,150294,1.9332,9.98,0.9900,0.9980,0.0000,-0.005933,0.005921,0.1657,0.016372,13,4475.0
720,1474560,152349,1.9332,9.98,0.9900,0.9980,0.0000,-0.009865,0.003333,0.1707,0.014869,13,4540.2
730,1495040,154408,1.8959,9.90,0.9600,0.9900,0.0000,-0.009994,0.010111,0.2048,0.019699,13,4604.9
740,1515520,156463,1.9450,10.00,1.0000,1.0000,0.0000,-0.008589,0.001423,0.1718,0.013285,13,4670.1
750,1536000,158514,1.9450,10.00,1.0000,1.0000,0.0000,-0.008262,0.000236,0.1752,0.010110,13,4735.2
760,1556480,160567,1.9332,9.98,0.9900,0.9980,0.0000,-0.004057,0.001864,0.1781,0.012642,13,4799.7
770,1576960,162619,1.9086,9.93,0.9700,0.9930,0.0000,-0.009731,0.003900,0.1762,0.015126,13,4864.7
780,1597440,164673,1.9450,10.00,1.0000,1.0000,0.0000,-0.007670,0.001424,0.1966,0.012057,13,4930.0
790,1617920,166728,1.9450,10.00,1.0000,1.0000,0.0000,-0.002990,0.001930,0.1919,0.013507,13,4995.2
800,1638400,168779,1.9450,10.00,1.0000,1.0000,0.0000,-0.005478,0.001187,0.1598,0.013694,13,5060.3
810,1658880,170830,1.9450,10.00,1.0000,1.0000,0.0000,-0.008581,0.000143,0.1498,0.046310,13,5125.2
820,1679360,172882,1.9450,10.00,1.0000,1.0000,0.0000,-0.007278,0.000150,0.1504,0.014048,13,5190.0
830,1699840,174933,1.9450,10.00,1.0000,1.0000,0.0000,-0.004956,0.001075,0.1746,0.013590,13,5255.1
840,1720320,176986,1.9223,9.97,0.9800,0.9970,0.0000,-0.008667,0.002534,0.1717,0.016095,13,5320.0
850,1740800,179040,1.8887,9.93,0.9500,0.9930,0.0000,-0.010517,0.012629,0.1675,0.021982,13,5384.4
860,1761280,181091,1.9450,10.00,1.0000,1.0000,0.0000,-0.008933,0.000160,0.1386,0.015268,13,5449.1
870,1781760,183145,1.9214,9.96,0.9800,0.9960,0.0000,-0.005348,0.003023,0.1695,0.016840,13,5514.4
880,1802240,185197,1.9450,10.00,1.0000,1.0000,0.0000,-0.005544,0.000222,0.1343,0.012347,13,5579.4
890,1822720,187252,1.9323,9.97,0.9900,0.9970,0.0000,-0.006607,0.006079,0.1467,0.011210,13,5644.5
900,1843200,189304,1.9450,10.00,1.0000,1.0000,0.0000,-0.005589,0.000233,0.1428,0.009734,13,5709.5
