timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,critic1_loss,critic2_loss,actor_loss,alpha_loss,alpha,q1_mean,unique_tilings,wall_time
10000,1439,0.6716,7.00,0.0000,0.7000,0.0000,0.000000,0.000000,0.000000,0.000000,0.100000,0.0000,0,0.9
20000,2875,0.6726,7.01,0.0000,0.7010,0.0000,0.099624,0.101759,-0.242105,-2.009395,0.099970,0.0061,0,2.2
30000,4220,0.7353,7.69,0.0000,0.7690,0.0000,0.000121,0.000112,-0.443714,-0.247707,0.007935,0.4209,0,107.4
40000,5514,0.7473,7.82,0.0000,0.7820,0.0000,0.000062,0.000057,-0.460785,-0.236329,0.008526,0.4361,0,214.1
50000,6797,0.7409,7.75,0.0000,0.7750,0.0000,0.000061,0.000072,-0.459622,-0.077520,0.009427,0.4360,1,321.0
60000,8074,0.7537,7.89,0.0000,0.7890,0.0000,0.000101,0.000082,-0.458535,0.058109,0.009997,0.4374,1,428.5
70000,9349,0.7583,7.94,0.0000,0.7940,0.0000,0.000118,0.000103,-0.456107,0.187895,0.010559,0.4309,2,535.4
80000,10620,0.7436,7.78,0.0000,0.7780,0.0000,0.000124,0.000124,-0.458811,0.019460,0.010565,0.4386,2,641.2
90000,11889,0.7416,7.76,0.0000,0.7760,0.0000,0.000111,0.000092,-0.457425,0.421383,0.010990,0.4362,3,744.9
100000,13151,0.7536,7.89,0.0000,0.7890,0.0000,0.000100,0.000110,-0.448567,0.443009,0.011065,0.4294,4,848.9
110000,14412,0.7619,7.98,0.0000,0.7980,0.0000,0.000146,0.000124,-0.451884,0.356205,0.011149,0.4337,6,953.1
120000,15667,0.7610,7.97,0.0000,0.7970,0.0000,0.000160,0.000129,-0.467359,-0.140117,0.011018,0.4475,6,1059.6
130000,16923,0.7802,8.07,0.0100,0.8070,0.0000,0.000173,0.000200,-0.441180,0.515192,0.011249,0.4236,8,1167.1
140000,18176,0.7500,7.85,0.0000,0.7850,0.0000,0.000668,0.000673,-0.474620,-0.230533,0.011330,0.4549,9,1274.7
150000,19433,0.7721,8.09,0.0000,0.8090,0.0000,0.000193,0.000223,-0.467737,-0.185913,0.011215,0.4485,15,1382.7
160000,20678,0.7820,8.09,0.0100,0.8090,0.0000,0.000218,0.000244,-0.477964,-0.242730,0.011266,0.4586,20,1490.5
170000,21922,0.7711,8.08,0.0000,0.8080,0.0000,0.000211,0.000232,-0.450041,0.381535,0.011202,0.4313,20,1598.5
180000,23170,0.7638,8.00,0.0000,0.8000,0.0000,0.000575,0.000525,-0.468862,-0.239778,0.011303,0.4515,23,1703.5
190000,24414,0.7656,8.02,0.0000,0.8020,0.0000,0.000203,0.000251,-0.478648,-0.564899,0.011580,0.4600,26,1807.7
200000,25654,0.7657,8.02,0.0000,0.8020,0.0000,0.000316,0.000369,-0.447310,0.386596,0.011434,0.4300,28,1911.5
210000,26898,0.7911,8.08,0.0200,0.8080,0.0000,0.000291,0.000265,-0.468884,-0.338757,0.011432,0.4502,36,2017.6
220000,28130,0.7848,8.23,0.0000,0.8230,0.0000,0.000309,0.000351,-0.455964,-0.271245,0.011416,0.4378,37,2125.0
230000,29361,0.7802,8.07,0.0100,0.8070,0.0000,0.000282,0.000312,-0.452721,0.256569,0.011307,0.4320,43,2232.4
240000,30594,0.7838,8.11,0.0100,0.8110,0.0000,0.000281,0.000236,-0.486021,-0.452719,0.011121,0.4673,49,2340.1
250000,31824,0.7839,8.11,0.0100,0.8110,0.0000,0.000474,0.000432,-0.457470,0.194285,0.011227,0.4416,52,2448.1
260000,33052,0.7957,8.24,0.0100,0.8240,0.0000,0.000322,0.000405,-0.447686,0.256102,0.011316,0.4316,55,2553.8
270000,34283,0.7829,8.10,0.0100,0.8100,0.0000,0.000509,0.000449,-0.445335,0.233644,0.011192,0.4291,60,2657.7
280000,35508,0.7911,8.19,0.0100,0.8190,0.0000,0.000821,0.000984,-0.463337,-0.018620,0.011394,0.4476,68,2761.8
290000,36736,0.8229,8.21,0.0400,0.8210,0.0000,0.000591,0.000583,-0.467420,-0.232194,0.012349,0.4493,69,2866.0
300000,37953,0.8783,8.27,0.0900,0.8270,0.0000,0.001497,0.001647,-0.456633,0.312224,0.013694,0.4365,71,2973.1
310000,39141,1.0972,8.59,0.2800,0.8590,0.0000,0.001413,0.001245,-0.517322,-0.013016,0.018695,0.4742,75,3080.3
320000,40224,1.7623,9.64,0.8500,0.9640,0.0000,0.001866,0.001713,-0.634978,0.415680,0.028527,0.5394,77,3187.5
330000,41231,1.9450,10.00,1.0000,1.0000,0.0000,0.000575,0.000593,-0.723007,0.108469,0.029860,0.5998,77,3295.4
340000,42232,1.9450,10.00,1.0000,1.0000,0.0000,0.000450,0.000478,-0.768962,-0.054037,0.033782,0.6497,77,3402.8
